Country,Year,GDP,Per Capita,Growth
thailand,1996,$183.04B,"$3,040 ",5.65%
thailand,1995,$169.28B,"$2,849 ",8.12%
thailand,1994,$146.68B,"$2,503 ",8.00%
thailand,1993,$128.89B,"$2,231 ",8.25%
thailand,1992,$111.45B,"$1,957 ",8.08%
thailand,1991,$98.23B,"$1,751 ",8.56%
thailand,1990,$85.34B,"$1,545 ",11.17%
thailand,1989,$72.25B,"$1,330 ",12.19%
thailand,1988,$61.67B,"$1,155 ",13.29%
thailand,1987,$50.54B,$963 ,9.52%
thailand,1986,$43.10B,$836 ,5.53%
thailand,1985,$38.90B,$769 ,4.65%
thailand,1984,$41.80B,$842 ,5.75%
thailand,1983,$40.04B,$823 ,5.58%
thailand,1982,$36.59B,$767 ,5.35%
thailand,1981,$34.85B,$746 ,5.91%
thailand,1980,$32.35B,$707 ,5.17%
thailand,1979,$27.37B,$612 ,5.37%
thailand,1978,$24.01B,$548 ,10.30%
thailand,1977,$19.78B,$462 ,9.84%
thailand,1976,$16.99B,$406 ,9.33%
thailand,1975,$14.88B,$364 ,4.97%
thailand,1974,$13.70B,$343 ,4.47%
thailand,1973,$10.84B,$279 ,10.24%
thailand,1972,$8.18B,$216 ,4.28%
thailand,1971,$7.38B,$200 ,4.90%
thailand,1970,$7.09B,$198 ,11.41%
thailand,1969,$6.70B,$192 ,6.55%
thailand,1968,$6.08B,$180 ,8.12%
thailand,1967,$5.64B,$172 ,8.62%
thailand,1966,$5.28B,$166 ,11.12%
thailand,1965,$4.39B,$142 ,8.18%
thailand,1964,$3.89B,$130 ,6.83%
thailand,1963,$3.54B,$122 ,8.00%
thailand,1962,$3.31B,$117 ,7.55%
thailand,1961,$3.03B,$111 ,5.36%
thailand,1960,$2.76B,$104 ,%
uae,2023,$504.17B,"$52,977 ",3.40%
uae,2022,$507.06B,"$53,708 ",7.85%
uae,2021,$415.18B,"$44,332 ",4.35%
uae,2020,$349.47B,"$37,629 ",-4.96%
uae,2019,$417.99B,"$45,376 ",1.11%
uae,2018,$427.05B,"$46,722 ",1.31%
uae,2017,$390.52B,"$43,064 ",0.74%
uae,2016,$369.26B,"$41,055 ",5.56%
uae,2015,$370.28B,"$41,525 ",6.79%
uae,2014,$414.11B,"$46,866 ",4.17%
uae,2013,$400.22B,"$45,730 ",5.06%
uae,2012,$384.61B,"$44,387 ",1.82%
uae,2011,$360.83B,"$42,079 ",6.22%
uae,2010,$300.19B,"$35,392 ",1.60%
uae,2009,$253.55B,"$31,723 ",-5.24%
uae,2008,$315.47B,"$45,141 ",3.19%
uae,2007,$257.92B,"$43,918 ",3.18%
uae,2006,$222.12B,"$45,340 ",9.84%
uae,2005,$180.62B,"$42,191 ",4.86%
uae,2004,$147.82B,"$37,018 ",9.57%
uae,2003,$124.35B,"$32,607 ",8.80%
uae,2002,$109.82B,"$30,222 ",2.43%
uae,2001,$103.31B,"$29,909 ",1.40%
uae,2000,$104.34B,"$31,856 ",10.85%
uae,1999,$84.45B,"$27,262 ",2.90%
uae,1998,$75.67B,"$25,906 ",0.29%
uae,1997,$78.84B,"$28,709 ",8.19%
uae,1996,$73.57B,"$28,597 ",5.80%
uae,1995,$65.74B,"$27,011 ",6.69%
uae,1994,$59.31B,"$25,463 ",6.90%
uae,1993,$55.63B,"$25,019 ",1.26%
uae,1992,$54.24B,"$25,630 ",3.34%
uae,1991,$51.55B,"$25,668 ",0.86%
uae,1990,$50.70B,"$26,683 ",18.33%
uae,1989,$41.46B,"$23,141 ",12.34%
uae,1988,$36.28B,"$21,545 ",-2.62%
uae,1987,$36.38B,"$23,088 ",3.38%
uae,1986,$33.94B,"$23,111 ",-14.96%
uae,1985,$40.60B,"$29,433 ",-3.59%
uae,1984,$41.81B,"$31,955 ",4.02%
uae,1983,$42.80B,"$34,587 ",-4.75%
uae,1982,$46.62B,"$39,922 ",-6.72%
uae,1981,$49.33B,"$44,841 ",4.66%
uae,1980,$43.60B,"$42,995 ",23.87%
uae,1979,$31.23B,"$34,372 ",20.92%
uae,1978,$23.78B,"$29,527 ",-1.59%
uae,1977,$24.87B,"$35,186 ",21.44%
uae,1976,$19.21B,"$31,283 ",16.53%
uae,1975,$14.72B,"$27,090 ",6.23%
uae,1974,$11.65B,"$23,684 ",14.50%
uae,1973,$4.23B,"$9,583 ",76.62%
uae,1972,$1.42B,"$3,607 ",39.08%
uae,1971,$0.94B,"$2,728 ",36.61%
uae,1970,$0.69B,"$2,301 ",%
singapore,2023,$501.43B,"$84,734 ",1.08%
singapore,2022,$498.47B,"$88,429 ",3.84%
singapore,2021,$434.11B,"$79,601 ",9.69%
singapore,2020,$349.49B,"$61,467 ",-3.87%
singapore,2019,$376.90B,"$66,082 ",1.35%
singapore,2018,$376.89B,"$66,841 ",3.52%
singapore,2017,$343.26B,"$61,162 ",4.51%
singapore,2016,$319.05B,"$56,900 ",3.59%
singapore,2015,$308.00B,"$55,646 ",2.98%
singapore,2014,$314.86B,"$57,565 ",3.94%
singapore,2013,$307.58B,"$56,967 ",4.82%
singapore,2012,$295.09B,"$55,548 ",4.44%
singapore,2011,$279.36B,"$53,891 ",6.21%
singapore,2010,$239.81B,"$47,237 ",14.52%
singapore,2009,$194.15B,"$38,927 ",0.13%
singapore,2008,$193.62B,"$40,009 ",1.86%
singapore,2007,$180.94B,"$39,433 ",9.02%
singapore,2006,$148.63B,"$33,768 ",9.01%
singapore,2005,$127.81B,"$29,961 ",7.37%
singapore,2004,$115.03B,"$27,608 ",9.94%
singapore,2003,$97.65B,"$23,730 ",4.55%
singapore,2002,$92.54B,"$22,160 ",3.92%
singapore,2001,$89.79B,"$21,700 ",-1.07%
singapore,2000,$96.08B,"$23,853 ",9.04%
singapore,1999,$86.29B,"$21,797 ",5.72%
singapore,1998,$85.73B,"$21,829 ",-2.19%
singapore,1997,$100.12B,"$26,376 ",8.32%
singapore,1996,$96.29B,"$26,233 ",7.47%
singapore,1995,$87.81B,"$24,915 ",7.18%
singapore,1994,$73.69B,"$21,552 ",11.10%
singapore,1993,$60.60B,"$18,290 ",11.46%
singapore,1992,$52.13B,"$16,136 ",6.64%
singapore,1991,$45.47B,"$14,502 ",6.69%
singapore,1990,$36.14B,"$11,862 ",9.82%
singapore,1989,$30.47B,"$10,395 ",10.16%
singapore,1988,$25.37B,"$8,914 ",11.26%
singapore,1987,$20.92B,"$7,539 ",10.80%
singapore,1986,$18.59B,"$6,800 ",1.34%
singapore,1985,$19.16B,"$7,002 ",-0.62%
singapore,1984,$19.75B,"$7,228 ",8.79%
singapore,1983,$17.78B,"$6,633 ",8.55%
singapore,1982,$16.08B,"$6,078 ",7.10%
singapore,1981,$14.18B,"$5,597 ",10.82%
singapore,1980,$11.90B,"$4,928 ",10.11%
singapore,1979,$9.30B,"$3,901 ",9.55%
singapore,1978,$7.52B,"$3,194 ",7.78%
singapore,1977,$6.62B,"$2,846 ",6.85%
singapore,1976,$6.33B,"$2,759 ",7.44%
singapore,1975,$5.63B,"$2,490 ",3.99%
singapore,1974,$5.22B,"$2,342 ",6.12%
singapore,1973,$3.70B,"$1,685 ",10.60%
singapore,1972,$2.72B,"$1,264 ",13.32%
singapore,1971,$2.26B,"$1,071 ",12.41%
singapore,1970,$1.92B,$926 ,13.94%
singapore,1969,$1.66B,$813 ,13.83%
singapore,1968,$1.43B,$709 ,13.53%
singapore,1967,$1.24B,$626 ,12.51%
singapore,1966,$1.10B,$567 ,10.18%
singapore,1965,$0.97B,$517 ,7.83%
singapore,1964,$0.89B,$486 ,-3.10%
singapore,1963,$0.92B,$511 ,10.04%
singapore,1962,$0.83B,$472 ,7.55%
singapore,1961,$0.76B,$449 ,8.14%
singapore,1960,$0.70B,$428 ,%
philippines,2023,$437.15B,"$3,726 ",5.55%
philippines,2022,$404.35B,"$3,499 ",7.58%
philippines,2021,$394.09B,"$3,461 ",5.71%
philippines,2020,$361.75B,"$3,224 ",-9.52%
philippines,2019,$376.82B,"$3,414 ",6.12%
philippines,2018,$346.84B,"$3,195 ",6.34%
philippines,2017,$328.48B,"$3,077 ",6.93%
philippines,2016,$318.63B,"$3,038 ",7.15%
philippines,2015,$306.45B,"$2,974 ",6.35%
philippines,2014,$297.48B,"$2,936 ",6.35%
philippines,2013,$283.90B,"$2,848 ",6.75%
philippines,2012,$261.92B,"$2,672 ",6.90%
philippines,2011,$234.22B,"$2,431 ",3.86%
philippines,2010,$208.37B,"$2,202 ",7.33%
philippines,2009,$175.97B,"$1,893 ",1.45%
philippines,2008,$181.62B,"$1,990 ",4.34%
philippines,2007,$155.98B,"$1,742 ",6.52%
philippines,2006,$127.65B,"$1,452 ",5.32%
philippines,2005,$107.42B,"$1,245 ",4.94%
philippines,2004,$95.00B,"$1,123 ",6.57%
philippines,2003,$87.04B,"$1,049 ",5.09%
philippines,2002,$84.31B,"$1,037 ",3.72%
philippines,2001,$78.92B,$991 ,3.05%
philippines,2000,$83.67B,"$1,073 ",4.38%
philippines,1999,$85.64B,"$1,123 ",3.35%
philippines,1998,$74.49B,"$1,000 ",-0.51%
philippines,1997,$94.11B,"$1,294 ",5.19%
philippines,1996,$94.65B,"$1,334 ",5.86%
philippines,1995,$84.64B,"$1,222 ",4.63%
philippines,1994,$73.16B,"$1,081 ",4.37%
philippines,1993,$62.04B,$939 ,2.18%
philippines,1992,$60.42B,$936 ,0.42%
philippines,1991,$51.78B,$821 ,-0.44%
philippines,1990,$50.51B,$820 ,3.08%
philippines,1989,$48.51B,$807 ,6.18%
philippines,1988,$43.15B,$734 ,6.70%
philippines,1987,$37.79B,$658 ,4.36%
philippines,1986,$33.99B,$606 ,3.51%
philippines,1985,$34.96B,$638 ,-6.86%
philippines,1984,$35.73B,$668 ,-7.04%
philippines,1983,$37.76B,$723 ,1.90%
philippines,1982,$42.21B,$829 ,3.70%
philippines,1981,$40.50B,$815 ,3.42%
philippines,1980,$36.85B,$761 ,5.20%
philippines,1979,$31.22B,$662 ,5.60%
philippines,1978,$25.76B,$561 ,5.19%
philippines,1977,$22.28B,$499 ,5.56%
philippines,1976,$19.38B,$446 ,8.78%
philippines,1975,$16.88B,$398 ,5.45%
philippines,1974,$15.61B,$377 ,3.39%
philippines,1973,$11.41B,$282 ,8.78%
philippines,1972,$9.07B,$230 ,5.43%
philippines,1971,$8.38B,$218 ,5.39%
philippines,1970,$7.56B,$202 ,3.69%
philippines,1969,$9.57B,$262 ,4.69%
philippines,1968,$8.63B,$243 ,5.04%
philippines,1967,$7.72B,$223 ,5.22%
philippines,1966,$7.19B,$213 ,4.44%
philippines,1965,$6.52B,$199 ,5.35%
philippines,1964,$5.95B,$187 ,3.40%
philippines,1963,$5.51B,$177 ,7.02%
philippines,1962,$4.95B,$164 ,4.85%
philippines,1961,$8.17B,$278 ,5.70%
philippines,1960,$7.52B,$264 ,%
vietnam,2023,$429.72B,"$4,347 ",5.05%
vietnam,2022,$410.32B,"$4,179 ",8.12%
vietnam,2021,$366.47B,"$3,760 ",2.55%
vietnam,2020,$346.62B,"$3,586 ",2.87%
vietnam,2019,$334.37B,"$3,491 ",7.36%
vietnam,2018,$310.11B,"$3,267 ",7.47%
vietnam,2017,$281.35B,"$2,992 ",6.94%
vietnam,2016,$257.10B,"$2,761 ",6.69%
vietnam,2015,$239.26B,"$2,595 ",6.99%
vietnam,2014,$233.45B,"$2,559 ",6.42%
vietnam,2013,$213.71B,"$2,367 ",5.55%
vietnam,2012,$195.59B,"$2,190 ",5.50%
vietnam,2011,$172.60B,"$1,954 ",6.41%
vietnam,2010,$147.20B,"$1,684 ",6.42%
vietnam,2009,$106.01B,"$1,226 ",5.40%
vietnam,2008,$99.13B,"$1,158 ",5.66%
vietnam,2007,$77.41B,$913 ,7.13%
vietnam,2006,$66.37B,$791 ,6.98%
vietnam,2005,$57.63B,$693 ,7.55%
vietnam,2004,$45.43B,$552 ,7.54%
vietnam,2003,$39.55B,$485 ,6.90%
vietnam,2002,$35.06B,$435 ,6.32%
vietnam,2001,$32.69B,$409 ,6.19%
vietnam,2000,$31.17B,$395 ,6.79%
vietnam,1999,$28.68B,$367 ,4.77%
vietnam,1998,$27.21B,$353 ,5.76%
vietnam,1997,$26.84B,$353 ,8.15%
vietnam,1996,$24.66B,$329 ,9.34%
vietnam,1995,$20.74B,$281 ,9.54%
vietnam,1994,$16.29B,$225 ,8.84%
vietnam,1993,$13.18B,$185 ,8.07%
vietnam,1992,$9.87B,$141 ,8.65%
vietnam,1991,$9.61B,$141 ,5.96%
vietnam,1990,$6.47B,$97 ,5.10%
vietnam,1989,$6.29B,$96 ,7.36%
vietnam,1988,$25.42B,$397 ,5.14%
vietnam,1987,$36.66B,$585 ,3.58%
vietnam,1986,$26.34B,$430 ,2.79%
vietnam,1985,$14.09B,$236 ,3.81%
denmark,2023,$404.20B,"$67,967 ",1.89%
denmark,2022,$400.17B,"$67,790 ",2.73%
denmark,2021,$405.69B,"$69,269 ",6.84%
denmark,2020,$354.76B,"$60,837 ",-2.42%
denmark,2019,$346.50B,"$59,593 ",1.49%
denmark,2018,$356.84B,"$61,592 ",1.99%
denmark,2017,$332.12B,"$57,610 ",2.82%
denmark,2016,$313.12B,"$54,664 ",3.25%
denmark,2015,$302.67B,"$53,255 ",2.34%
denmark,2014,$352.99B,"$62,549 ",1.62%
denmark,2013,$343.58B,"$61,191 ",0.93%
denmark,2012,$327.15B,"$58,508 ",0.23%
denmark,2011,$344.00B,"$61,754 ",1.34%
denmark,2010,$322.00B,"$58,041 ",1.87%
denmark,2009,$321.24B,"$58,163 ",-4.91%
denmark,2008,$353.36B,"$64,322 ",-0.51%
denmark,2007,$319.42B,"$58,487 ",0.91%
denmark,2006,$282.88B,"$52,027 ",3.91%
denmark,2005,$264.47B,"$48,800 ",2.34%
denmark,2004,$251.37B,"$46,512 ",2.67%
denmark,2003,$218.10B,"$40,459 ",0.39%
denmark,2002,$178.64B,"$33,229 ",0.47%
denmark,2001,$164.79B,"$30,752 ",0.82%
denmark,2000,$164.16B,"$30,744 ",3.75%
denmark,1999,$177.97B,"$33,441 ",2.95%
denmark,1998,$176.99B,"$33,368 ",2.22%
denmark,1997,$173.54B,"$32,836 ",3.26%
denmark,1996,$187.63B,"$35,651 ",2.90%
denmark,1995,$185.01B,"$35,351 ",3.03%
denmark,1994,$156.16B,"$29,996 ",5.33%
denmark,1993,$143.20B,"$27,598 ",0.01%
denmark,1992,$152.92B,"$29,570 ",1.96%
denmark,1991,$139.22B,"$27,011 ",1.39%
denmark,1990,$138.25B,"$26,891 ",1.48%
denmark,1989,$112.41B,"$21,901 ",0.65%
denmark,1988,$115.55B,"$22,527 ",-0.01%
denmark,1987,$109.41B,"$21,341 ",0.25%
denmark,1986,$88.08B,"$17,201 ",4.90%
denmark,1985,$62.66B,"$12,253 ",4.00%
denmark,1984,$59.11B,"$11,563 ",4.17%
denmark,1983,$60.64B,"$11,858 ",2.60%
denmark,1982,$60.41B,"$11,804 ",3.68%
denmark,1981,$61.88B,"$12,082 ",-0.67%
denmark,1980,$71.13B,"$13,884 ",-0.48%
denmark,1979,$70.37B,"$13,752 ",3.87%
denmark,1978,$60.36B,"$11,826 ",2.23%
denmark,1977,$49.78B,"$9,784 ",1.87%
denmark,1976,$44.58B,"$8,788 ",5.92%
denmark,1975,$40.47B,"$7,999 ",-1.46%
denmark,1974,$34.16B,"$6,771 ",-1.12%
denmark,1973,$30.73B,"$6,119 ",4.09%
denmark,1972,$23.23B,"$4,654 ",3.93%
denmark,1971,$19.09B,"$3,846 ",3.01%
denmark,1970,$17.08B,"$3,464 ",1.60%
denmark,1969,$15.41B,"$3,151 ",6.51%
denmark,1968,$13.51B,"$2,776 ",5.55%
denmark,1967,$13.06B,"$2,701 ",5.53%
denmark,1966,$11.93B,"$2,487 ",2.74%
denmark,1965,$10.87B,"$2,284 ",4.56%
denmark,1964,$9.68B,"$2,049 ",9.27%
denmark,1963,$8.47B,"$1,807 ",0.64%
denmark,1962,$7.95B,"$1,711 ",5.67%
denmark,1961,$7.06B,"$1,531 ",6.38%
denmark,1960,$6.36B,"$1,389 ",%
malaysia,2023,$399.65B,"$11,649 ",3.68%
malaysia,2022,$407.03B,"$11,993 ",8.65%
malaysia,2021,$373.83B,"$11,135 ",3.30%
malaysia,2020,$337.46B,"$10,164 ",-5.46%
malaysia,2019,$365.18B,"$11,132 ",4.41%
malaysia,2018,$358.79B,"$11,074 ",4.84%
malaysia,2017,$319.11B,"$9,980 ",5.81%
malaysia,2016,$301.26B,"$9,556 ",4.45%
malaysia,2015,$301.36B,"$9,700 ",5.09%
malaysia,2014,$338.07B,"$11,046 ",6.01%
malaysia,2013,$323.28B,"$10,728 ",4.69%
malaysia,2012,$314.44B,"$10,602 ",5.47%
malaysia,2011,$297.95B,"$10,209 ",5.29%
malaysia,2010,$255.02B,"$8,880 ",7.42%
malaysia,2009,$202.26B,"$7,168 ",-1.51%
malaysia,2008,$230.81B,"$8,343 ",4.83%
malaysia,2007,$193.55B,"$7,144 ",6.30%
malaysia,2006,$162.69B,"$6,137 ",5.58%
malaysia,2005,$143.53B,"$5,537 ",5.33%
malaysia,2004,$124.75B,"$4,924 ",6.78%
malaysia,2003,$110.20B,"$4,455 ",5.79%
malaysia,2002,$100.85B,"$4,177 ",5.39%
malaysia,2001,$92.78B,"$3,941 ",0.52%
malaysia,2000,$93.79B,"$4,088 ",8.86%
malaysia,1999,$79.15B,"$3,538 ",6.14%
malaysia,1998,$72.17B,"$3,309 ",-7.36%
malaysia,1997,$100.01B,"$4,706 ",7.32%
malaysia,1996,$100.86B,"$4,875 ",10.00%
malaysia,1995,$88.71B,"$4,405 ",9.83%
malaysia,1994,$74.48B,"$3,802 ",9.21%
malaysia,1993,$66.89B,"$3,512 ",9.89%
malaysia,1992,$59.17B,"$3,194 ",8.89%
malaysia,1991,$49.14B,"$2,728 ",9.55%
malaysia,1990,$44.02B,"$2,513 ",9.01%
malaysia,1989,$38.85B,"$2,282 ",9.06%
malaysia,1988,$35.27B,"$2,135 ",9.94%
malaysia,1987,$32.18B,"$2,007 ",5.19%
malaysia,1986,$27.73B,"$1,783 ",1.24%
malaysia,1985,$31.20B,"$2,065 ",-1.03%
malaysia,1984,$33.94B,"$2,311 ",7.76%
malaysia,1983,$30.35B,"$2,123 ",6.25%
malaysia,1982,$26.80B,"$1,925 ",5.94%
malaysia,1981,$25.00B,"$1,843 ",6.94%
malaysia,1980,$24.49B,"$1,853 ",7.44%
malaysia,1979,$21.21B,"$1,648 ",9.35%
malaysia,1978,$16.36B,"$1,304 ",6.65%
malaysia,1977,$13.14B,"$1,075 ",7.75%
malaysia,1976,$11.05B,$928 ,11.56%
malaysia,1975,$9.30B,$800 ,0.80%
malaysia,1974,$9.50B,$838 ,8.32%
malaysia,1973,$7.66B,$693 ,11.70%
malaysia,1972,$5.04B,$467 ,9.39%
malaysia,1971,$4.24B,$402 ,10.03%
malaysia,1970,$3.86B,$375 ,5.99%
malaysia,1969,$3.66B,$364 ,4.89%
malaysia,1968,$3.33B,$339 ,7.98%
malaysia,1967,$3.19B,$333 ,3.86%
malaysia,1966,$3.14B,$337 ,7.82%
malaysia,1965,$2.96B,$325 ,7.68%
malaysia,1964,$2.67B,$303 ,5.36%
malaysia,1963,$2.51B,$293 ,7.34%
malaysia,1962,$2.00B,$240 ,6.42%
malaysia,1961,$1.90B,$236 ,7.60%
malaysia,1960,$1.92B,$245 ,%
czech-republic,2023,$330.86B,"$30,427 ",-0.31%
czech-republic,2022,$290.57B,"$27,227 ",2.35%
czech-republic,2021,$281.79B,"$26,823 ",3.55%
czech-republic,2020,$245.97B,"$22,993 ",-5.50%
czech-republic,2019,$252.55B,"$23,665 ",3.03%
czech-republic,2018,$249.00B,"$23,424 ",3.22%
czech-republic,2017,$218.63B,"$20,636 ",5.17%
czech-republic,2016,$196.27B,"$18,575 ",2.54%
czech-republic,2015,$188.03B,"$17,830 ",5.39%
czech-republic,2014,$209.36B,"$19,891 ",2.26%
czech-republic,2013,$211.69B,"$20,133 ",-0.05%
czech-republic,2012,$208.86B,"$19,871 ",-0.79%
czech-republic,2011,$229.56B,"$21,871 ",1.76%
czech-republic,2010,$209.07B,"$19,960 ",2.43%
czech-republic,2009,$207.43B,"$19,862 ",-4.66%
czech-republic,2008,$236.82B,"$22,805 ",2.69%
czech-republic,2007,$190.18B,"$18,467 ",5.57%
czech-republic,2006,$156.26B,"$15,262 ",6.77%
czech-republic,2005,$137.14B,"$13,431 ",6.60%
czech-republic,2004,$119.81B,"$11,750 ",4.81%
czech-republic,2003,$100.09B,"$9,819 ",3.58%
czech-republic,2002,$82.20B,"$8,061 ",1.57%
czech-republic,2001,$67.81B,"$6,637 ",3.04%
czech-republic,2000,$61.83B,"$6,029 ",4.00%
czech-republic,1999,$65.17B,"$6,337 ",1.38%
czech-republic,1998,$66.81B,"$6,490 ",-0.36%
czech-republic,1997,$62.18B,"$6,034 ",-0.52%
czech-republic,1996,$67.39B,"$6,533 ",4.27%
czech-republic,1995,$60.15B,"$5,824 ",6.50%
czech-republic,1994,$47.85B,"$4,631 ",2.91%
czech-republic,1993,$40.87B,"$3,956 ",0.06%
czech-republic,1992,$34.81B,"$3,373 ",-0.51%
czech-republic,1991,$29.86B,"$2,897 ",-11.61%
czech-republic,1990,$40.73B,"$3,942 ",%
new-zealand,2023,$253.47B,"$48,528 ",0.63%
new-zealand,2022,$246.73B,"$48,217 ",2.77%
new-zealand,2021,$253.64B,"$49,624 ",4.55%
new-zealand,2020,$212.70B,"$41,786 ",-0.42%
new-zealand,2019,$212.85B,"$42,747 ",2.36%
new-zealand,2018,$211.85B,"$43,229 ",3.50%
new-zealand,2017,$206.57B,"$42,913 ",3.40%
new-zealand,2016,$188.90B,"$40,071 ",3.75%
new-zealand,2015,$178.10B,"$38,639 ",3.73%
new-zealand,2014,$201.34B,"$44,578 ",3.75%
new-zealand,2013,$190.91B,"$42,977 ",2.76%
new-zealand,2012,$176.21B,"$39,974 ",2.29%
new-zealand,2011,$168.30B,"$38,389 ",2.24%
new-zealand,2010,$146.52B,"$33,677 ",1.44%
new-zealand,2009,$121.37B,"$28,209 ",-0.05%
new-zealand,2008,$133.13B,"$31,253 ",-1.24%
new-zealand,2007,$137.19B,"$32,480 ",3.05%
new-zealand,2006,$111.54B,"$26,655 ",2.78%
new-zealand,2005,$114.72B,"$27,751 ",3.35%
new-zealand,2004,$103.91B,"$25,420 ",4.09%
new-zealand,2003,$88.25B,"$21,914 ",4.73%
new-zealand,2002,$66.63B,"$16,874 ",4.71%
new-zealand,2001,$53.87B,"$13,883 ",3.41%
new-zealand,2000,$52.62B,"$13,641 ",2.87%
new-zealand,1999,$58.76B,"$15,322 ",5.38%
new-zealand,1998,$56.23B,"$14,738 ",0.86%
new-zealand,1997,$66.08B,"$17,474 ",2.08%
new-zealand,1996,$70.14B,"$18,794 ",3.61%
new-zealand,1995,$63.92B,"$17,400 ",4.72%
new-zealand,1994,$55.31B,"$15,280 ",5.12%
new-zealand,1993,$46.78B,"$13,094 ",6.39%
new-zealand,1992,$41.65B,"$11,793 ",1.09%
new-zealand,1991,$42.75B,"$12,230 ",-1.09%
new-zealand,1990,$45.50B,"$13,663 ",0.15%
new-zealand,1989,$43.92B,"$13,312 ",0.16%
new-zealand,1988,$45.18B,"$13,759 ",-0.35%
new-zealand,1987,$40.38B,"$12,331 ",0.97%
new-zealand,1986,$30.60B,"$9,428 ",2.71%
new-zealand,1985,$24.68B,"$7,601 ",1.62%
new-zealand,1984,$21.67B,"$6,714 ",4.79%
new-zealand,1983,$24.31B,"$7,598 ",3.49%
new-zealand,1982,$24.16B,"$7,656 ",0.93%
new-zealand,1981,$24.42B,"$7,814 ",4.66%
new-zealand,1980,$23.24B,"$7,467 ",1.28%
new-zealand,1979,$20.73B,"$6,668 ",2.19%
new-zealand,1978,$18.53B,"$5,937 ",0.32%
new-zealand,1977,$15.45B,"$4,951 ",-3.94%
new-zealand,1976,$13.60B,"$4,374 ",0.93%
new-zealand,1975,$12.86B,"$4,172 ",-1.73%
new-zealand,1974,$13.94B,"$4,611 ",5.99%
new-zealand,1973,$12.80B,"$4,323 ",7.80%
new-zealand,1972,$9.57B,"$3,295 ",5.12%
new-zealand,1971,$7.91B,"$2,773 ",3.79%
new-zealand,1970,$6.50B,"$2,311 ",-1.40%
new-zealand,1969,$5.81B,"$2,097 ",10.19%
new-zealand,1968,$5.23B,"$1,902 ",-0.05%
new-zealand,1967,$6.02B,"$2,208 ",-4.59%
new-zealand,1966,$5.92B,"$2,211 ",6.25%
new-zealand,1965,$5.71B,"$2,171 ",6.11%
new-zealand,1964,$7.34B,"$2,839 ",6.10%
new-zealand,1963,$6.70B,"$2,646 ",6.10%
new-zealand,1962,$6.13B,"$2,471 ",3.08%
new-zealand,1961,$5.72B,"$2,365 ",3.32%
new-zealand,1960,$5.54B,"$2,334 ",%
hungary,,$B,,7.50%
hungary,,$B,,7.40%
hungary,,$B,,42.41%
hungary,,$B,,4.70%
hungary,,$B,,5.70%
hungary,,$B,,6.10%
hungary,,$B,,4.70%
hungary,2023,$212.39B,"$22,147 ",-0.91%
hungary,2022,$177.01B,"$18,356 ",4.58%
hungary,2021,$182.11B,"$18,755 ",7.06%
hungary,2020,$157.29B,"$16,132 ",-4.49%
hungary,2019,$164.02B,"$16,786 ",4.86%
hungary,2018,$160.57B,"$16,425 ",5.36%
hungary,2017,$143.11B,"$14,621 ",4.27%
hungary,2016,$128.61B,"$13,105 ",2.20%
hungary,2015,$125.17B,"$12,717 ",3.71%
hungary,2014,$141.03B,"$14,294 ",4.23%
hungary,2013,$135.68B,"$13,715 ",1.80%
hungary,2012,$128.81B,"$12,985 ",-1.25%
hungary,2011,$141.94B,"$14,234 ",1.87%
hungary,2010,$132.18B,"$13,218 ",1.08%
hungary,2009,$131.07B,"$13,077 ",-6.60%
hungary,2008,$158.33B,"$15,772 ",1.00%
hungary,2007,$140.19B,"$13,941 ",0.28%
hungary,2006,$115.72B,"$11,490 ",3.95%
hungary,2005,$113.21B,"$11,223 ",4.29%
hungary,2004,$104.12B,"$10,302 ",5.00%
hungary,2003,$85.29B,"$8,419 ",4.07%
hungary,2002,$67.61B,"$6,655 ",4.74%
hungary,2001,$53.75B,"$5,276 ",4.07%
hungary,2000,$47.22B,"$4,624 ",4.48%
hungary,1999,$49.07B,"$4,793 ",3.07%
hungary,1998,$48.71B,"$4,744 ",3.90%
hungary,1997,$47.30B,"$4,596 ",3.14%
hungary,1996,$46.66B,"$4,525 ",0.08%
hungary,1995,$46.43B,"$4,495 ",1.49%
hungary,1994,$43.17B,"$4,173 ",2.95%
hungary,1993,$40.12B,"$3,874 ",-0.58%
hungary,1992,$38.73B,"$3,735 ",-3.06%
hungary,1991,$34.75B,"$3,350 ",-11.89%
hungary,1990,$34.37B,"$3,313 ",-3.50%
hungary,1989,$30.32B,"$2,893 ",0.74%
hungary,1988,$29.70B,"$2,803 ",-0.07%
hungary,1987,$27.14B,"$2,558 ",4.05%
hungary,1986,$24.70B,"$2,323 ",1.53%
hungary,1985,$21.44B,"$2,013 ",-0.25%
hungary,1984,$21.17B,"$1,985 ",2.66%
hungary,1983,$21.84B,"$2,043 ",0.72%
hungary,1982,$24.06B,"$2,248 ",2.84%
hungary,1981,$23.63B,"$2,206 ",2.87%
hungary,1980,$23.04B,"$2,151 ",0.20%
hungary,1979,$19.89B,"$1,859 ",2.70%
hungary,1978,$17.23B,"$1,613 ",4.40%
hungary,1977,$14.74B,"$1,384 ",7.60%
hungary,1976,$13.19B,"$1,245 ",3.60%
hungary,1975,$11.38B,"$1,080 ",6.20%
hungary,1974,$9.98B,$953 ,5.90%
hungary,1973,$9.11B,$873 ,6.90%
hungary,1972,$7.36B,$707 ,6.10%
